id,name
foodcartridges,Food Cartridges
fossilremnants,Fossil Remnants
fruitandvegetables,Fruit and Vegetables
fujintea,Fujin Tea
galactictravelguide,Galactic Travel Guide
gallite,Gallite
gallium,Gallium
geawendancedust,Geawen Dance Dust
genebank,Gene Bank
geologicalequipment,Geological Equipment
geologicalsamples,Geological Samples
gerasiangueuzebeer,Gerasian Gueuze Beer
giantirukamasnails,Giant Irukama Snails
giantverrix,Giant Verrix
gilyasignatureweapons,Gilya Signature Weapons
gold,Gold
gomanyauponcoffee,Goman Yaupon Coffee
goslarite,Goslarite
grain,Grain
grandidierite,Grandidierite
hafnium 178,Hafnium 178
haidneblackbrew,Haiden Black Brew
harmasilversearum,Harma Silver Sea Rum
havasupaidreamcatcher,Havasupai Dream Catcher
hazardousenvironmentsuits,H.E. Suits
heatsinkinterlink,Heatsink Interlink
helvetitjpearls,Helvetitj Pearls
hip10175bushmeat,HIP 10175 Bush Meat
hip118311swarm,HIP 118311 Swarm
hip41181squid,HIP Proto-Squid
hiporganophosphates,HIP Organophosphates
hnshockmount,HN Shock Mount
holvaduellingblades,Holva Duelling Blades
honestypills,Honesty Pills
hostage,Hostage
hr7221wheat,HR 7221 Wheat
hydrogenfuel,Hydrogen Fuel
hydrogenperoxide,Hydrogen Peroxide
imperialslaves,Imperial Slaves
indibourbon,Indi Bourbon
indite,Indite
indium,Indium
insulatingmembrane,Insulating Membrane
iondistributor,Ion Distributor
jadeite,Jadeite
jaquesquinentianstill,Jaques Quinentian Still
jaradharrepuzzlebox,Jaradharre Puzzle Box
jarouarice,Jaroua Rice
jotunmookah,Jotun Mookah
kachiriginleaches,Kachirigin Filter Leeches
kamitracigars,Kamitra Cigars
kamorinhistoricweapons,Kamorin Historic Weapons
karetiicouture,Karetii Couture
karsukilocusts,Karsuki Locusts
kinagoviolins,Kinago Violins
konggaale,Kongga Ale
korrokungpellets,Koro Kung Pellets
landenrichmentsystems,Land Enrichment Systems
landmines,Landmines
lanthanum,Lanthanum
largeexplorationdatacash,Large Survey Data Cache
lavianbrandy,Lavian Brandy
leather,Leather
leestianeviljuice,Leestian Evil Juice
lepidolite,Lepidolite
lftvoidextractcoffee,Void Extract Coffee
liquidoxygen,Liquid Oxygen
liquor,Liquor
lithium,Lithium
lithiumhydroxide,Lithium Hydroxide
livehecateseaworms,Live Hecate Sea Worms
lowtemperaturediamond,Low Temperature Diamonds
ltthypersweet,LTT Hyper Sweet
lyraeweed,Lyrae Weed
m3_tissuesample_membrane,Mollusc Membrane
m3_tissuesample_mycelium,Mollusc Mycelium
m3_tissuesample_spores,Mollusc Spores
m_tissuesample_fluid,Mollusc Fluid
m_tissuesample_nerves,Mollusc Brain Tissue
m_tissuesample_soft,Mollusc Soft Tissue
magneticemittercoil,Magnetic Emitter Coil
marineequipment,Marine Equipment
masterchefs,Master Chefs
mechucoshightea,Mechucos High Tea
medbstarlube,Medb Starlube
medicaldiagnosticequipment,Medical Diagnostic Equipment
metaalloys,Meta-Alloys
methaneclathrate,Methane Clathrate
methanolmonohydratecrystals,Methanol Monohydrate Crystals
microbialfurnaces,Microbial Furnaces
microcontrollers,Micro Controllers
militarygradefabrics,Military Grade Fabrics
militaryintelligence,Military Intelligence
militaryplans,Military Plans
mineralextractors,Mineral Extractors
mineraloil,Mineral Oil
modularterminals,Modular Terminals
moissanite,Moissanite
mokojingbeastfeast,Mokojing Beast Feast
momusbogspaniel,Momus Bog Spaniel
monazite,Monazite
motronaexperiencejelly,Motrona Experience Jelly
mukusubiichitinos,Mukusubii Chitin-os
mulachigiantfungus,Mulachi Giant Fungus
musgravite,Musgravite
mutomimager,Muon Imager
mysteriousidol,Mysterious Idol
nanobreakers,Nanobreakers
nanomedicines,Nanomedicines
naturalfabrics,Natural Fabrics
neofabricinsulation,Neofabric Insulation
neritusberries,Neritus Berries
nerveagents,Nerve Agents
ngadandarifireopals,Ngadandari Fire Opals
ngunamodernantiques,Nguna Modern Antiques
njangarisaddles,Njangari Saddles
noneuclidianexotanks,Non Euclidian Exotanks
nonlethalweapons,Non-Lethal Weapons
occupiedcryopod,Occupied Escape Pod
ochoengchillies,Ochoeng Chillies
onionhead,Onionhead
onionheada,Onionhead Alpha Strain
onionheadb,Onionhead Beta Strain
onionheadc,Onionhead Gamma Strain
opal,Void Opals
ophiuchiexinoartefacts,Ophiuch Exino Artefacts
orrerianviciousbrew,Orrerian Vicious Brew
osmium,Osmium
painite,Painite
palladium,Palladium
pantaaprayersticks,Pantaa Prayer Sticks
pavoniseargrubs,Pavonis Ear Grubs
performanceenhancers,Performance Enhancers
personaleffects,Personal Effects
personalgifts,Personal Gifts
personalweapons,Personal Weapons
pesticides,Pesticides
platinum,Platinum
platinumaloy,Platinum Alloy
politicalprisoner,Political Prisoner
polymers,Polymers
powerconverter,Power Converter
powergenerators,Power Generators
powergridassembly,Energy Grid Assembly
powertransferbus,Power Transfer Bus
praseodymium,Praseodymium
preciousgems,Precious Gems
progenitorcells,Progenitor Cells
prohibitedresearchmaterials,Prohibited Research Materials
prototypetech,Prototype Tech
pyrophyllite,Pyrophyllite
radiationbaffle,Radiation Baffle
rajukrustoves,Rajukru Multi-Stoves
rapabaosnakeskins,Rapa Bao Snake Skins
rareartwork,Rare Artwork
reactivearmour,Reactive Armour
rebeltransmissions,Rebel Transmissions
reinforcedmountingplate,Reinforced Mounting Plate
resonatingseparators,Resonating Separators
rhodplumsite,Rhodplumsite
robotics,Robotics
rockforthfertiliser,Rockforth Fertiliser
rusanioldsmokey,Rusani Old Smokey
rutile,Rutile
s6_tissuesample_cells,Pod Outer Tissue
s6_tissuesample_coenosarc,Pod Shell Tissue
s6_tissuesample_mesoglea,Pod Mesoglea
s9_tissuesample_shell,Pod Tissue
s_tissuesample_cells,Pod Core Tissue
s_tissuesample_core,Pod Surface Tissue
s_tissuesample_surface,Pod Dead Tissue
samarium,Samarium
sanumameat,Sanuma Decorative Meat
sap8corecontainer,SAP 8 Core Container
saxonwine,Saxon Wine
scientificresearch,Scientific Research
scientificsamples,Scientific Samples
scrap,Scrap
semiconductors,Semiconductors
serendibite,Serendibite
shanscharisorchid,Shan's Charis Orchid
silver,Silver
skimmercomponents,Skimmer Components
slaves,Slaves
smallexplorationdatacash,Small Survey Data Cache
soontillrelics,Soontill Relics
sothiscrystallinegold,Sothis Crystalline Gold
spacepioneerrelics,Space Pioneer Relics
structuralregulators,Structural Regulators
superconductors,Superconductors
surfacestabilisers,Surface Stabilisers
survivalequipment,Survival Equipment
syntheticfabrics,Synthetic Fabrics
syntheticmeat,Synthetic Meat
syntheticreagents,Synthetic Reagents
taaffeite,Taaffeite
tacticaldata,Tactical Data
tanmarktranquiltea,Tanmark Tranquil Tea
tantalum,Tantalum
tarachtorspice,Tarach Spice
taurichimes,Tauri Chimes
tea,Tea
technicalblueprints,Technical Blueprints
telemetrysuite,Telemetry Suite
terramaterbloodbores,Terra Mater Blood Bores
thallium,Thallium
thargoidgeneratortissuesample,Caustic Tissue Sample
thargoidheart,Thargoid Heart
thargoidpod,Xenobiological Prison Pod
thargoidscouttissuesample,Thargoid Scout Tissue Sample
thargoidtissuesampletype1,Thargoid Cyclops Tissue Sample
thargoidtissuesampletype10a,Titan Maw Deep Tissue Sample
thargoidtissuesampletype10b,Titan Maw Tissue Sample
thargoidtissuesampletype10c,Titan Maw Partial Tissue Sample
thargoidtissuesampletype2,Thargoid Basilisk Tissue Sample
thargoidtissuesampletype3,Thargoid Medusa Tissue Sample
thargoidtissuesampletype4,Thargoid Hydra Tissue Sample
thargoidtissuesampletype5,Thargoid Orthrus Tissue Sample
thargoidtissuesampletype6,Thargoid Glaive Tissue Sample
thargoidtissuesampletype7,Thargoid Scythe Tissue Sample
thargoidtissuesampletype9a,Titan Deep Tissue Sample
thargoidtissuesampletype9b,Titan Tissue Sample
thargoidtissuesampletype9c,Titan Partial Tissue Sample
thargoidtitandrivecomponent,Titan drive component
thehuttonmug,The Hutton Mug
thermalcoolingunits,Thermal Cooling Units
thorium,Thorium
thrutiscream,Thrutis Cream
tiegfriessynthsilk,Tiegfries Synth Silk
timecapsule,Time Capsule
tiolcewaste2pasteunits,Tiolce Waste2Paste Units
titanium,Titanium
tobacco,Tobacco
toxandjivirocide,Toxandji Virocide
toxicwaste,Toxic Waste
tradedata,Trade Data
transgeniconionhead,Lucan Onionhead
trinketsoffortune,Trinkets of Hidden Fortune
tritium,Tritium
unknownartifact,Thargoid Sensor
unknownbiologicalmatter,Thargoid Biological Matter
unknownlink,Thargoid Link
unknownmineral,Impure Spire Mineral
unknownprobe,Thargoid Probe
unknownrefinedmineral,Semi-Refined Spire Mineral
unknownresin,Thargoid Resin
unknownsack,Protective Membrane Scrap
unknowntechnologysamples,Thargoid Technology Samples
unocuppiedescapepod,Unoccupied Escape Pod
unstabledatacore,Unstable Data Core
uraninite,Uraninite
uranium,Uranium
usscargoancientartefact,Ancient Artefact
uszaiantreegrub,Uszaian Tree Grub
utgaroarmillenialeggs,Utgaroar Millennial Eggs
uzumokulowgwings,Uzumoku Low-G Wings
vanayequiceratomorphafur,Vanayequi Ceratomorpha Fur
vegaslimweed,Vega Slimweed
vherculisbodyrub,V Herculis Body Rub
vidavantianlace,Vidavantian Lace
volkhabbeedrones,Volkhab Bee Drones
water,Water
waterpurifiers,Water Purifiers
watersofshintara,The Waters Of Shintara
wheemetewheatcakes,Wheemete Wheat Cakes
wine,Wine
witchhaulkobebeef,Witchhaul Kobe Beef
wolf1301fesh,Wolf Fesh
wreckagecomponents,Wreckage Components
wulpahyperboresystems,Wulpa Hyperbore Systems
wuthielokufroth,Wuthielo Ku Froth
xihecompanions,Xihe Biomorphic Companions
yasokondileaf,Yaso Kondi Leaf
zeesszeantglue,Zeessze Ant Grub Glue
